AssemblyName,Organism
Oar_ARS-UKY_WhiteDorper_v1.0,Ovis aries
Oar_ARS-UKY_Romanov_v1.0,Ovis aries
ASM2231669v1,Camellia oleifera
MUSNIG.SB6536,Mustela nigripes
QAU_Sexi_v1,Spodoptera exigua
iqSchPice1.1,Schistocerca piceifrons
iqSchAmer2.1,Schistocerca americana
aegilops_longissima_6782_assembly,Aegilops longissima
Haruna_Nijo_pseudomolecules_assembly,Hordeum vulgare subsp. vulgare
PSovetskiy_1.0,Prunus persica
ASM2234304v1,Helicoverpa zea
sSteFas1.1,Stegostoma fasciatum
idSarRose1.1,Sarcophaga rosellei
iiLimLuna2.2,Limnephilus lunatus
ilCatFrax1.1,Catocala fraxini
idPolAngu1.1,Pollenia angustigena
idMyaFlor2.1,Myathropa florea
iyBomPrat1.1,Bombus pratorum
ihAcaHaem1.1,Acanthosoma haemorrhoidale
tnLinLong1.2,Lineus longissimus
ilPleArgu1.2,Plebejus argus
ilEndFlam1.2,Endotricha flammealis
ilApaMono1.2,Apamea monoglypha
Hydra_105_v3,Hydra vulgaris
iySphMoni1.3,Sphecodes monilicornis
bAccGen1.1,Accipiter gentilis
iyTenNoth1.2,Tenthredo notha
idEpiGros1.1,Epistrophe grossulariae
drMalSylv7.2,Malus sylvestris
drMalDome58.2,Malus domestica
ilMytFerr1.2,Mythimna ferrago
ilEreLige1.2,Erebia ligea
idBelPand1.2,Bellardia pandia
ihAelAcum1.2,Aelia acuminata
ilWatBina1.1,Watsonalla binaria
iySelTumu1.3,Seladonia tumulorum
icPteMadi1.2,Pterostichus madidus
idCriBerb1.2,Criorhina berberina
iyVesCrab1.2,Vespa crabro
iyAndMinu1.1,Andrena minutula
ilGymRufi1.1,Gymnoscelis rufifasciata
icAgrMuri1.1,Agrypnus murinus
iyEctLitu1.2,Ectemnius lituratus
iyBomTerr1.2,Bombus terrestris
ilAmpBerb1.2,Amphipyra berbera
iyAndDors1.1,Andrena dorsata
idPlaAlba1.2,Platycheirus albimanus
iiLimRhom1.1,Limnephilus rhombicus
ilMytAlbi1.1,Mythimna albipuncta
HeHo_2.0,Lichenostomus cassidix
DVS_B1.0,Citrus sinensis
DVS_A1.0,Citrus sinensis
Cfulv_R5_v5,Fulvia fulva
Zm-Mo17-REFERENCE-CAU-T2T-assembly,Zea mays
UCI_dwil_1.1,Drosophila willistoni
UoM_Shae.V3,Schistosoma haematobium
S.magellanicum v1.1,Sphagnum magellanicum
ASM2203655v1,Microstegium vimineum
ASM2205924v1,Lampris incognitus
ASM2211499v1,Glycine max
ASM2211386v1,Chimonanthus praecox
SC_F0-13Bv2,Daphnia pulicaria
SC_F0-2Xv2,Daphnia pulicaria
ASM2204524v1,Lucilia cuprina
ilCalPalu1.1,Calamotropha paludella
ilAclEmar1.1,Acleris emargana
ilLupTest1.1,Luperina testacea
BraLan3,Branchiostoma lanceolatum
ilAgoAren1.1,Agonopterix arenella
idSarCaer1.1,Sarcophaga caerulescens
Tetramorium_bicarinatum_1.0,Tetramorium bicarinatum
ilMacNota1.1,Macaria notata
gfLaeSulp1.1,Laetiporus sulphureus
HG002.mat.cur.20211005,Homo sapiens
HG002.pat.cur.20211005,Homo sapiens
ASM2195029v1,Epichloe scottii
fHypTra1,Hypomesus transpacificus
MGC_Penvy_1,Psilocybe cubensis
mHypTra1,Hypomesus transpacificus
GRCh38.p14,Homo sapiens
ASM2190535v1,Salix arbutifolia
sRhiTyp1.1,Rhincodon typus
ASM2176476v1,Vicia sativa
JD17_chr_final,Glycine max
Pst134E16_v1_alt,Puccinia striiformis f. sp. tritici
Pst134E36_v1_pri,Puccinia striiformis f. sp. tritici
iyNeoLeco1.1,Neodiprion lecontei
iyNeoVirg1.1,Neodiprion virginianus
icPyrSerr1.2,Pyrochroa serraticornis
idEriTena2.2,Eristalis tenax
ilApoTurb1.2,Apotomis turbidana
ilNymPoly1.2,Nymphalis polychloros
ilHecDyso1.2,Hecatera dysodea
ilLymMona1.2,Lymantria monacha
ilDeiPorc1.2,Deilephila porcellus
ilCosTrap1.2,Cosmia trapezina
ilAglUrti1.2,Nymphalis urticae
ilEupSimi1.2,Euproctis similis
ilPieNapi1.2,Pieris napi
ilBisBetu1.2,Biston betularia
ilMelAtha1.2,Mellicta athalia
ilAteCent1.3,Atethmia centrago
ilEnnFusc2.2,Ennomos fuscantarius
fAciRut3.2 paternal haplotype,Acipenser ruthenus
idVolInfl1.1,Volucella inflata
ilLasMege1.1,Lasiommata megera
ilAgrTris1.1,Agriphila tristella
MADL_Memer_1,Mercenaria mercenaria
ASM2176470v1,Pyricularia oryzae
UCLA_HA_Equagga_1.0,Equus quagga
ASM2156037v1,Cenchrus americanus
ASM2161337v1,Megaleporinus macrocephalus
ASM2165111v1,Neoporphyra haitanensis
ASM2165561v1,Acidianus sp. HS-5
MjAS7_1.0,Metallosphaera javensis
ARM1_1.0,Candidatus Micrarchaeota archaeon
iyLasMori1.2,Lasioglossum morio
Ta-2021,Taxus chinensis
ASM2160518v1,Aegilops searsii
ASM2160520v1,Aegilops longissima
ASM2160514v1,Aegilops bicornis
ASM2164183v1,Aegilops sharonensis
ASM2161353v1,Adineta vaga
T2T-CHM13v2.0,Homo sapiens
UT_GWSS_2.1,Homalodisca vitripennis
ASM2155672v1,Echinococcus granulosus
UTH_Rnor_SHRSP_BbbUtx_1.0,Rattus norvegicus
fLeuIdu1.pri.20210917,Leuciscus idus
ASM2153325v1,Ceriops tagal
ASM2152757v1,Ensete glaucum
ASM2143690v1,Fusarium circinatum
ASM2151374v1,Fusarium circinatum
sunup,Carica papaya
PGI_MELIAE_v1,Brassicogethes aeneus
ASM2151375v1,Fusarium circinatum
ASM2149846v1,Hylobates pileatus
ASM2146441v1,Lonicera japonica
ASM2149847v1,Saguinus midas
ULB_Chis1_1.0,Cataglyphis hispanica
ASM2149845v1,Colobus guereza
ASM2146430v1,Kandelia obovata
ULB_Chis2_1.0,Cataglyphis hispanica
ASM2151371v1,Candidatus Heimdallarchaeota archaeon PR6
ASM2151369v1,Candidatus Heimdallarchaeota archaeon PM71
S.fallax v1.1,Sphagnum fallax
fGobGob41.pri.20210311,Gobio gobio
fProSem1.pri.20201207,Proterorhinus semilunaris
ASM2149197v1,Caenorhabditis briggsae
ASM2149165v1,Peronospora effusa
ASM2146169v1,Gossypium hirsutum
ASM2146168v1,Gossypium hirsutum
ASM2146165v1,Schistosoma japonicum
iyMimDahl1.2,Mimumesa dahlbomi
iyDolSylv1.2,Dolichovespula sylvestris
iyMacEuro1.2,Macropis europaea
ASM2144215v1,Cymbidium sinense
ASM2143724v1,Aegilops speltoides
USDA_NASsal_1.1,Salmo salar
ASM2144216v1,Ceratotherium simum cottoni
ASM161894v2,Drechmeria coniospora
ASM2143688v1,Fusarium circinatum
ARS-LIC_NZ_Holstein-Friesian_1,Bos taurus
Mlong_CMEN585_v3,Mentha longifolia
ASM2139784v1,Areca catechu
KAUST_Apoly_ChrSc,Acanthochromis polyacanthus
ASM2123400v1,Nephelium lappaceum
ASM2129224v1,Micropterus dolomieu
ASM2137826v1,Epichloe typhina subsp. clarkii
ASM2137823v1,Epichloe typhina subsp. typhina
UniBe_ApeQuad_1.0,Apeltes quadracus
ASM2130787v1,Zea mays
ASM2042438v2,Procambarus clarkii
IOZ_Scro_1.0,Shinisaurus crocodilurus
Ca_59_1.0,Capsicum annuum
ASM2129210v1,Anadara kagoshimensis
ASM2124940v1,Halobacterium sp. XZYJT26
ASM2124934v1,Halobacterium sp. Gai3-17
iDiv_DRa_1.0,Delia radicum
IOCAS_Schl_1.0,Stichopus chloronotus
ARS-LIC_NZ_Jersey,Bos taurus
ASM1585260v2,Populus deltoides
ASM2123343v1,Halobacterium noricense
ASM2123341v1,Halobacterium litoreum
SP_BI_364.v2_0,Brenthis ino
ilAclSpar1.1,Acleris sparsana
ilMarLuna1.1,Marasmarcha lunaedactyla
ilAgoSubp1.1,Agonopterix subpropinquella
xbGarTell2.1,Gari tellinella
idSicFerr1.1,Sicus ferrugineus
ilEupLuci1.1,Euplexia lucipara
ASM2122901v1,Solen grandis
ASM2118404v1,Methanococcoides orentis
OgorEven_v1.0,Oncorhynchus gorbuscha
ASM2117223v1,Saccharomyces cerevisiae
ASM2117220v1,Saccharomyces cerevisiae
iyDipSimi1.1,Diprion similis
iyNeoFabr1.1,Neodiprion fabricii
iyNeoPine1.1,Neodiprion pinetum
ASM1691783v3,Halobacterium sp. BOL4-2
PanTigT.SI.v4,Panthera tigris tigris
PanTigT.MC.v3,Panthera tigris tigris
ASM2113471v1,Daphnia pulex
ASM2113355v1,Penicillium oxalicum
ilAplEffo1.1,Aplocera efformata
ioIscEleg1.1,Ischnura elegans
xgPhoLine1.1,Phorcus lineatus
ipNemDubi1.1,Nemoura dubitans
ipNemPict2.1,Nemurella pictetii
ASM2111731v1,Immersiporthe knoxdaviesiana
Caur_TTU_1.0,Colaptes auratus
ASM2102068v1,Boehmeria nivea
ASM2101899v1,Chloranthus sessilifolius
Cam_Psub_1.0,Prinia subflava
ASM2101889v1,Seriola aureovittata
ASM2101890v1,Sitodiplosis mosellana
Zm-B104-REFERENCE-CORTEVA-1.0,Zea mays
M.indica_Dashehari_mat1.0,Mangifera indica
M.indica_Neelam_pat1.0,Mangifera indica
BYU_Ohem_2021,Odocoileus hemionus
bHirRus1.pri.v3,Hirundo rustica
ASM2101432v1,Plazaster borealis
ASM2097570v1,Cryptococcus neoformans
ASM2097567v1,Cryptococcus neoformans
Upin_Kr2015,Undaria pinnatifida
ASM2097566v1,Cryptococcus neoformans
ASM2097564v1,Cryptococcus neoformans
ASM2097560v1,Cryptococcus neoformans
ASM2097561v1,Cryptococcus neoformans
ASM2097558v1,Cryptococcus neoformans
ASM2097554v1,Cryptococcus neoformans
ASM2097556v1,Cryptococcus neoformans
ASM2097548v1,Cryptococcus neoformans
ASM2097552v1,Cryptococcus neoformans
ASM2097549v1,Cryptococcus neoformans
ASM2097543v1,Cryptococcus neoformans
ASM2099542v1,Cyberlindnera sargentensis
idCluTigr1.1,Clusia tigrina
idEupLati1.1,Eupeodes latifasciatus
ilMelGala2.1,Melanargia galathea
fTraTra1.2,Trachurus trachurus
iyBomCamp1.2,Bombus campestris
ASM2099124v1,Fusarium graminearum
DUL_pseudomol_v1.0,Cucumis melo
TAD_pseudomol_v1.0,Cucumis melo
ASM2092345v1,Folsomia candida
USDA_Vadar_1.0_pri,Vaccinium darrowii
USDA_Vadar_1.0_alt,Vaccinium darrowii
ASM2092103v1,Rhodamnia argentea
ASM2092055v1,Folsomia candida
hifiasm152_l3.hic.hap1.p_ctg,Manihot esculenta
hifiasm152_l3.hic.hap2.p_ctg,Manihot esculenta
ASM2091643v1,Oxytropis ochrocephala
ASM2091238v1,Neofusicoccum parvum
ASM2091176v1,Arabidopsis thaliana
ilPhiVetu1.1,Philereme vetulata
ilNotZicz1.1,Notodonta ziczac
jaDiaLine6.1,Diadumene lineata
kaAplTurb1.1,Aplidium turbinatum
ilHedSali1.2,Hedya salicella
ilMelMars1.1,Melinaea marsaeus rileyi
fPhoGun1.2,Pholis gunnellus
ilZygFili1.2,Zygaena filipendulae
ilMelMeno1.1,Melinaea menophilus n. ssp. AW-2005
iiLimMarm1.1,Limnephilus marmoratus
ilSelDent1.1,Selenia dentaria
iHelSar1.1,Heliconius sara
ASM2090651v1,Vanrija pseudolonga
COCOBI_1.0,Coccomyxa sp. Obi
ASM2088631v1,Saccharolobus caldissimus
ASM2088591v1,Candidatus Methanoliparum sp. LAM-1
ilEulPrun1.1,Eulithis prunata
ASM1326553v1,Arachis ipaensis
MFA1912RKSv2,Macaca fascicularis
ARS_Acer_aS1,Aphelinus certus
IBAB_AnStep_IndChStd_v1,Anopheles stephensi
ARS_Aatr_GLS1.0,Aphelinus atriplicis
ASM2088227v1,Mythimna separata
ASM2088223v1,Schizaphis graminum
ASM2088224v1,Rhopalosiphum padi
Dalata_v2,Dioscorea alata
ASM2082689v1,Aquilegia kansuensis
UVic_Lsal_1.2,Lepeophtheirus salmonis
ilAgrMaci1.1,Agrochola macilenta
UniMelb_DasViv_v1.0,Dasyurus viverrinus
ASM2084481v1,Methanothrix sp.
ASM2084479v1,Methanothrix sp.
ASM2084414v1,Sarcoptes scabiei
mDicBic1.mat.cur,Diceros bicornis minor
ASM2080926v1,[Candida] auris
ASM2035261v1,Yoshiicerus persimilis
ASM1480567v1.1,Mercenaria mercenaria
ASM2080970v1,Calonectria ilicicola
ASM2079622v1,Arion vulgaris
CAAS_Pfla_1.0,Pantala flavescens
ASM2079583v1,Malus sieversii
ASM2079735v1,[Candida] glabrata
ASM2079732v1,[Candida] glabrata
ASM2079718v1,[Candida] glabrata
ASM2079719v1,[Candida] glabrata
ASM2079720v1,[Candida] glabrata
ASM2079722v1,[Candida] glabrata
ASM2079721v1,[Candida] glabrata
ASM2063170v1.1,Daphnia magna
bPorHoc1.mat.Z.cur,Porphyrio hochstetteri
ASM2079620v1,Ziziphus jujuba var. spinosa
XSv2.1f,Xanthoceras sorbifolium
ilSynVesp1.1,Synanthedon vespiformis
ASM2078341v1,Leishmania major
ASM2074582v1,Agelaius phoeniceus
C.richardii_v2,Ceratopteris richardii
sHemOce1.pat.X.cur.,Hemiscyllium ocellatum
bTroSur1.pri.cur,Trogon surrucura
bHemCom1.pri.cur,Hemiprocne comata
bTheCae1.pri.cur,Theristicus caerulescens
fTauAds1.pri.cur,Tautogolabrus adspersus
mLemCat1.pri,Lemur catta
ASM2061545v1,Coregonus clupeaformis
mJacJac1.mat.Y.cur,Jaculus jaculus
bCorHaw1.pri.cur,Corvus hawaiiensis
IOCAS_Cari,Crassostrea ariakensis
ZJU_Trem_1.0,Telenomus remus
ASM2056784v1,Rhododendron henanense subsp. lingbaoense
ASM2073956v1,Cenchrus americanus
ASM2073958v1,Cenchrus americanus
ASM2073953v1,Cenchrus americanus
ASM2073957v1,Cenchrus americanus
ASM2073952v1,Cenchrus americanus
ASM2073693v1,Methanothrix sp.
ASM2073648v1,Halobacterium sp. NRC-34001
ASM2069857v1,Bostrychus sinensis
ASM1066527v2,Linum usitatissimum
M40_MC,Drosophila persimilis
ST_MC,Drosophila pseudoobscura pseudoobscura
ASM2071676v1,Rhizophagus irregularis
ASM2071672v1,Rhizophagus irregularis
ASM2071670v1,Rhizophagus irregularis
ASM2071668v1,Rhizophagus irregularis
ASM2070023v1,Haladaptatus pallidirubidus
NneoKNNDK_001_PacBio_v1,Neonectria neomacrospora
iyIchXant1.1,Ichneumon xanthorius
ilDryErem1.1,Dryobotodes eremita
xgPatPell1.1,Patella pellucida
iyAthRosa1.1,Athalia rosae
ASM2064786v1,Trichoderma asperellum
ASM2064779v1,Trichoderma atroviride
ASM2064770v1,Trichoderma virens FT-333
ASM2064763v1,Trichoderma virens
ASM2063173v1,Saccharum officinarum
ASM291643v2,Juglans mandshurica
ASM291648v2,Juglans nigra
ASM291646v2,Juglans regia
ASM2063169v1,Trichoderma cornu-damae
UMN_Dpol_1.0,Dreissena polymorpha
UHD_SCDLUD_16,Saccharomycodes ludwigii
UHD_SCDLUD_1723.9,Saccharomycodes ludwigii
UHD_SCDLUD_122.8,Saccharomycodes ludwigii
ASM2056790v1,Sus scrofa domesticus
ASM2061847v1,Haladaptatus sp. PSR5
ASM2061439v1,Salarchaeum japonicum
ASM2061437v1,Haladaptatus sp. PSR8
Assembly1,Trypanosoma evansi
ilXesXant1.2,Xestia xanthographa
ASM2053686v1,Camellia sinensis var. assamica
ASM2053685v1,Camellia sinensis var. assamica
ASM2053679v1,Camellia sinensis var. assamica
ASM2053659v1,Camellia sinensis
ASM2053655v1,Camellia sinensis var. lasiocalyx
ASM2053651v1,Camellia sinensis
ASM2053649v1,Camellia sinensis var. sinensis
ASM2053656v1,Camellia sinensis var. assamica
ASM220157v2,Neomonachus schauinslandi
BTI_SOV_V1,Spinacia oleracea
JGL_1.0,Gynostemma pentaphyllum
Ahyacinthus.chrsV1,Acropora hyacinthus
ASM1345655v2,Natrinema sp. YPL30
ASM1340281v2,Natrinema halophilum
ASM1735215v2,Haloterrigena alkaliphila
Gnip_1.0,Gasterosteus nipponicus
ASM2051022v1,Forsythia suspensa
GmBRS537.a1.v2,Glycine max
fPhoLeu1.pri,Pholidichthys leucotaenia
ASM2046626v1,Siphamia tubifer
ASM2045787v1,Dimocarpus longan
ASM2045803v1,Crassostrea ariakensis
ec_v3,Echinochloa crus-galli
Cory_1.0,Chlorops oryzae
ASM2046615v1,Pachypeltis micranthus
ASM2049715v1,Glycine max
ASM1984411v2,Cryptosporidium parvum
PGP1v1,Homo sapiens
KOREF_S1v2.1,Homo sapiens
ASM1607732v2,Equus asinus
ASM2049712v1,Mauremys mutica
ZSTU_Gsto,Gossypium stocksii
ASM2049675v1,Channa maculata
Fraxinus pennsylvanica genome version 1.4,Fraxinus pennsylvanica
ilOrgAnti1.1,Orgyia antiqua
ARS_RC_1.1,Trifolium pratense
ASM2042342v1,Chrysopa pallens
ASM2045026v1,[Candida] glabrata
ASM2045023v1,[Candida] glabrata
fScaArg1.pri,Scatophagus argus
ASM2045021v1,[Candida] glabrata
ASM2045019v1,[Candida] glabrata
ASM2045016v1,Caenorhabditis elegans
ASM1478422v2,Aspergillus flavus
ASM2042406v1,Prunus armeniaca
ASM2040524v1,Halomicrobium salinisoli
ASM2040522v1,Natrinema sp. DC36
ASM2040520v1,Natrinema salinisoli
ASM2040518v1,Halomicrobium salinisoli
Da-Ae,Brassica napus
CUR_PTRM4_2.2,Pyrenophora tritici-repentis
ASM2035630v1,Candidatus Bathyarchaeota archaeon
ASM2035612v1,Thermoplasmatales archaeon
ASM2035600v1,Thermoplasmata archaeon
ASM2035518v1,archaeon
ASM2035512v1,Candidatus Bathyarchaeota archaeon
ASM2035510v1,Candidatus Thorarchaeota archaeon
ASM2035457v1,Candidatus Bathyarchaeota archaeon
ASM2035453v1,Candidatus Bathyarchaeota archaeon
ASM2035406v1,Candidatus Bathyarchaeota archaeon
ASM2035351v1,Candidatus Heimdallarchaeota archaeon
ASM2035264v1,Candidatus Bathyarchaeota archaeon
ASM2035253v1,Candidatus Bathyarchaeota archaeon
ASM2035189v1,Thermoplasmata archaeon
ASM2035174v1,Candidatus Heimdallarchaeota archaeon
ASM2035130v1,Candidatus Bathyarchaeota archaeon
ASM2035086v1,Thermoplasmata archaeon
ASM2035082v1,Thermoplasmatales archaeon
ASM2035038v1,Candidatus Bathyarchaeota archaeon
ASM2035036v1,Thermoplasmatales archaeon
ASM2035030v1,Candidatus Bathyarchaeota archaeon
ASM2034898v1,Candidatus Thorarchaeota archaeon
ASM2034896v1,Candidatus Heimdallarchaeota archaeon
ASM2034894v1,Candidatus Bathyarchaeota archaeon
ASM2034886v1,Candidatus Bathyarchaeota archaeon
ASM2034844v1,Thermoplasmata archaeon
ASM2034836v1,Candidatus Bathyarchaeota archaeon
ASM2034834v1,Euryarchaeota archaeon
ASM2034828v1,Candidatus Bathyarchaeota archaeon
ASM2034770v1,Methanomassiliicoccales archaeon
ASM2034764v1,Euryarchaeota archaeon
ASM2034756v1,Euryarchaeota archaeon
ASM2034682v1,Candidatus Bathyarchaeota archaeon
ASM2034672v1,Candidatus Bathyarchaeota archaeon
ASM2034660v1,Candidatus Bathyarchaeota archaeon
ASM2034594v1,Candidatus Bathyarchaeota archaeon
ASM2034572v1,Euryarchaeota archaeon
ASM2034564v1,Candidatus Bathyarchaeota archaeon
ASM2034495v1,Candidatus Lokiarchaeota archaeon
ASM2034471v1,Candidatus Bathyarchaeota archaeon
ASM2034443v1,Candidatus Bathyarchaeota archaeon
ASM2034431v1,Candidatus Bathyarchaeota archaeon
ASM2034373v1,Candidatus Aenigmarchaeota archaeon
ASM2034371v1,Thermoplasmata archaeon
ASM2034365v1,Candidatus Lokiarchaeota archaeon
ASM2034363v1,Candidatus Aenigmarchaeota archaeon
ASM2034361v1,Candidatus Woesearchaeota archaeon
ASM2034357v1,Candidatus Aenigmarchaeota archaeon
ASM2034351v1,Thermoplasmatales archaeon
ASM2034343v1,archaeon
ASM2034223v1,Saccharomycopsis sp. TF-2021a
ASM2034179v1,Thermoplasmatales archaeon
ASM2034177v1,Candidatus Bathyarchaeota archaeon
LMJFC_annotationDEFINITIVO,Leishmania major strain Friedlin
ASM2028386v1,Bactrocera dorsalis
Mindica_Amrapali_3.0,Mangifera indica
Prin_Dsim_3.1,Drosophila simulans
GSYX_assembly,Prunus armeniaca
ASM2027666v1,Muntiacus crinifrons
UCSC_Hcal_v1,Hormiphora californensis
ZGL_assembly,Prunus salicina
ST_assembly,Prunus davidiana
GHT_assembly,Prunus mira
ASM2022607v1,Hydropotes inermis
ASM2022605v1,Muntiacus crinifrons
ASM2022604v1,Muntiacus reevesi
ASM49712v2,Spironucleus salmonicida
Gabo_G3,Ganoderma boninense
CAF_Sgla_1.0,Sindora glabra
Csap_IMET_v1,Callinectes sapidus
ASM2020560v1,Panax ginseng
ASM2020555v1,Panax stipuleanatus
ASM2020561v1,Panax quinquefolius
ASM2020550v1,Panax japonicus
MPIPZ_Amontbretiana_3.1,Arabis montbretiana
ilXesCnig1.1,Xestia c-nigrum
ilEmmMono1.1,Emmelina monodactyla
drMalDome5.1,Malus domestica
ilMesFuru1.1,Mesoligia furuncula
xgSteCine2.1,Steromphala cineraria
drMalDome11.1,Malus domestica
jrHalOcto1.1,Haliclystus octoradiatus
iyLasLatv2.1,Lasioglossum lativentre
ilOmpLuno1.1,Omphaloscelis lunosa
ilGriApri1.1,Griposia aprilina
idCheVulp2.1,Cheilosia vulpina
idEriArbu1.1,Eristalis arbustorum
ASM2021742v1,Halosiccatus urmianus
barley_shape_chiba,Hordeum vulgare subsp. vulgare
PTTW11,Pyrenophora teres f. teres
Felis_catus_9.0,Felis catus
bGalGal1.pat.whiteleghornlayer.GRCg7w_WZ,Gallus gallus
Aet v5.0,Aegilops tauschii subsp. strangulata
ASM1855537v1.1,Anguilla rostrata
ASM2018471v1,Danio rerio
ASM2018416v1,Aphis gossypii
ilVanAtal1.2,Vanessa atalanta
MbTMVv1,Solanum lycopersicum
ilEilSoro1.1,Eilema sororculum
ASM_NN_V1,Neogale vison
ASM2016949v1,Drosophila melanogaster
solTubHeraHap1,Solanum tuberosum
solTubHeraHap2,Solanum tuberosum
solTubStieglitzHap2,Solanum tuberosum
ASM1995361v1,Saccharomyces uvarum
hg01243.v3.0,Homo sapiens
MUOH_PhPlat_1.1,Phrynosoma platyrhinos
ASM2014198v1,Drosophila melanogaster
ASM2014204v1,Drosophila melanogaster
ASM2014210v1,Drosophila melanogaster
ASM2014208v1,Drosophila melanogaster
ASM2014205v1,Drosophila melanogaster
ASM2014202v1,Drosophila melanogaster
ASM2014200v1,Drosophila melanogaster
ASM2014195v1,Drosophila melanogaster
ASM2014193v1,Drosophila melanogaster
ASM2014187v1,Drosophila melanogaster
ASM2014192v1,Drosophila melanogaster
ASM2014181v1,Drosophila melanogaster
ASM2014183v1,Drosophila melanogaster
ASM2014185v1,Drosophila melanogaster
ASM2014184v1,Drosophila melanogaster
ASM2014176v1,Drosophila melanogaster
ASM2014179v1,Drosophila melanogaster
ASM2014173v1,Drosophila melanogaster
ASM2014174v1,Drosophila melanogaster
ASM2014170v1,Drosophila melanogaster
ASM2014165v1,Drosophila melanogaster
ASM2014166v1,Drosophila melanogaster
ASM2014158v1,Drosophila melanogaster
ASM2014167v1,Drosophila melanogaster
ASM2014157v1,Drosophila melanogaster
ASM2014162v1,Drosophila melanogaster
ASM2014159v1,Drosophila melanogaster
ASM2014151v1,Drosophila melanogaster
ASM2014149v1,Drosophila melanogaster
ASM2014150v1,Drosophila melanogaster
ASM2014148v1,Drosophila melanogaster
ASM2015081v1,Haloprofundus sp. Gai1-5
ASM2004594v2,Trichoderma semiorbis
ASM2008510v1,Siniperca chuatsi
MPM_Cglom_v2.3,Cotesia glomerata
ASM2008019v1,Acanthopagrus latus
ASM2008506v1,Alternaria alternata
ASM2008022v1,Gynochthodes officinalis
cc-01-1940_version_1.0,Saccharum hybrid cultivar
ASM2009168v1,Lutjanus erythropterus
Haplotype_Yunnan,Litchi chinensis
Haplotype_Hainan,Litchi chinensis
ASM2009783v1,Haloprofundus sp. SEDH52
ASM2009781v1,Haloprofundus sp. SQT7-1
drMalDome10.1,Malus domestica
ilSpiLutu1.1,Spilarctia lutea
ASM2005564v1,Tomocerus qinae
HKBU_Pec_v1,Paraescarpia echinospica
ASM401019v2,Chiloscyllium plagiosum
iyAncNigr1.1,Ancistrocerus nigricornis
idTheAcut1.1,Thecocarcelia acutangulata
ilEilDepe1.1,Eilema depressum
idCorMarg1.1,Coremacera marginata
ilAgrAura1.1,Agriopis aurantiaria
ilEupTran1.1,Eupsilia transversa
ilAgrCirc1.1,Agrochola circellaris
iyAnoNige1.1,Anoplius nigerrimus
tzMemMemb1.1,Membranipora membranacea
ilPtiCapc1.1,Ptilodon capucinus
icHarAxyr1.1,Harmonia axyridis
idMelMell2.1,Melanostoma mellinum
ilHydMica1.1,Hydraecia micacea
ilSesApif2.1,Sesia apiformis
ucDunPrim2.1,Dunaliella primolecta
fThuAlb1.1,Thunnus albacares
ASM2002348v1,Ogataea polymorpha
SM_V9,Schistosoma mansoni
UCB_Ecoq_1.0,Eleutherodactylus coqui
ASM2000250v1,Brassica juncea
ASM2000251v1,Brassica juncea
SCAU_Lch_v2.0,Litchi chinensis
ASM1992514v1,Hypophthalmichthys nobilis
ASM1992520v1,Metopolophium dirhodum
OUC_Cal_1.0,Cromileptes altivelis
FelChav1.0,Felis chaus
ASM1992509v1,Dendrolimus kikuchii
ASM1992579v1,Dendrobium chrysotoxum
NDDB_SH_1,Bubalus bubalis
NDDB_DH_1,Bubalus bubalis
ASM1991606v1,Vitellaria paradoxa
ASM1980259v1,Syngnathoides biaculeatus
ASM1980254v1,Phyllopteryx taeniolatus
CUR_Ptr134_2.0,Pyrenophora tritici-repentis
ASM1980252v1,Phyllopteryx taeniolatus
ASM1991499v1,Acanthochlamys bracteata
ASM1991524v1,Fusarium musae
TyphaL0001,Typha latifolia
ASM1988044v1,Aspergillus flavus
ASM1988024v1,Halobaculum roseum
ASM1988022v1,Halobaculum rubrum
ASM1987910v1,Natrinema sp. SYSU A 869
ASM1984555v1,Aristolochia fimbriata
ValleyOak3.2,Quercus lobata
ASM1384124v2,Apis mellifera carnica
ASM1980459v1,Bruguiera parviflora
ASM1982310v1,Halobaculum magnesiiphilum
ASM1821919v1,Saccharomyces cerevisiae
IVFCAAS_Rs10_1.0,Raphanus raphanistrum x Raphanus sativus
ASM1967732v2,Pleurotus cornucopiae
rDerCor1.pri.v4,Dermochelys coriacea
ASM1960339v1,Cyrtorhinus lividipennis
IVFCAAS_Rs03_1.0,Raphanus sativus var. niger
IVFCAAS_Rs09_1.0,Raphanus raphanistrum subsp. raphanistrum
IVFCAAS_Rs06_1.0,Raphanus sativus
IVFCAAS_Rs08_1.0,Raphanus raphanistrum subsp. landra
IVFCAAS_Rs07_1.0,Raphanus sativus var. raphanistroides
IVFCAAS_Rs05_1.0,Raphanus sativus
IVFCAAS_Rs04_1.0,Raphanus sativus
IVFCAAS_Rs02_1.0,Raphanus sativus var. oleiformis
IVFCAAS_Rs01_1.0,Raphanus sativus var. caudatus
MX_HiC_50CHRs.fa,Myxocyprinus asiaticus
AMEX_1.1,Astyanax mexicanus
SWU_Gaff_1.0,Gambusia affinis
IVFCAAS_Rs00_1.1,Raphanus sativus
ilCamMarg1.1,Campaea margaritaria
ilApoCrat1.1,Aporia crataegi
ilPapMach1.1,Papilio machaon
ilHydFurc1.1,Hydriomena furcata
ASM1970431v1,Stygiolobus caldivivus
ASM1970429v1,Sulfolobales archaeon HS-7
BlacSF5v2,Bremia lactucae
